name,set,product_id,rarity,number,market_price,low_price,mid_price,printing
Gruesome and Grim,Rise of the Floodborn,525344,Rare,62/204,0.43,0.2,0.5,Cold Foil
Card Soldiers - Full Deck,Rise of the Floodborn,525428,Uncommon,105/204,0.21,0.09,0.35,Cold Foil
Donald Duck - Perfect Gentleman,Rise of the Floodborn,526207,Uncommon,77/204,0.87,0.39,0.99,Cold Foil
Falling Down the Rabbit Hole,Rise of the Floodborn,526208,Rare,162/204,0.52,0.25,0.63,Cold Foil
World's Greatest Criminal Mind,Rise of the Floodborn,526209,Rare,31/204,2.55,2.37,3.33,Cold Foil
Virana - Fang Chief,Rise of the Floodborn,526214,Common,95/204,0.14,0.05,0.25,Cold Foil
Sisu - Divine Water Dragon,Rise of the Floodborn,526269,Legendary,159/204,1.1,0.29,1.34,Normal
Queen of Hearts - Impulsive Ruler,Rise of the Floodborn,526275,Uncommon,119/204,0.76,0.47,1.2,Cold Foil
Legend of the Sword in the Stone,Rise of the Floodborn,526302,Common,64/204,0.07,0.01,0.15,Normal
Dragon Gem,Rise of the Floodborn,526346,Rare,33/204,0.19,0.01,0.25,Normal
Christopher Robin - Adventurer,Rise of the Floodborn,526351,Rare,2/204,0.57,0.28,0.61,Cold Foil
Minnie Mouse - Stylish Surfer,Rise of the Floodborn,526358,Uncommon,113/204,0.25,0.15,0.45,Cold Foil
Sleepy - Nodding Off,Rise of the Floodborn,526366,Common,21/204,0.18,0.06,0.25,Cold Foil
Sneezy - Very Allergic,Rise of the Floodborn,526375,Common,22/204,0.07,0.01,0.15,Normal
Snow White - Unexpected Houseguest,Rise of the Floodborn,526378,Uncommon,24/204,0.43,0.19,0.5,Cold Foil
Happy - Good-Natured,Rise of the Floodborn,526383,Common,11/204,0.15,0.06,0.25,Cold Foil
Dopey - Always Playful,Rise of the Floodborn,526384,Uncommon,6/204,0.05,0.01,0.15,Normal
Grumpy - Bad-Tempered,Rise of the Floodborn,526388,Common,10/204,0.18,0.08,0.25,Cold Foil
Chief Bogo - Respected Officer,Rise of the Floodborn,526396,Rare,175/204,0.91,0.45,0.98,Cold Foil
Judy Hopps - Optimistic Officer,Rise of the Floodborn,526398,Uncommon,152/204,0.45,0.27,0.69,Cold Foil
Bashful - Hopeless Romantic,Rise of the Floodborn,526599,Uncommon,1/204,0.19,0.14,0.39,Cold Foil
Doc - Leader of the Seven Dwarfs,Rise of the Floodborn,526602,Uncommon,5/204,0.06,0.01,0.18,Normal
Cheshire Cat - From the Shadows,Rise of the Floodborn,526613,Super Rare,75/204,0.89,0.75,1.0,Cold Foil
Nothing to Hide,Rise of the Floodborn,526744,Common,165/204,0.14,0.04,0.3,Cold Foil
Shere Khan - Menacing Predator,Rise of the Floodborn,526857,Rare,126/204,0.45,0.24,0.66,Normal
Cruella De Vil - Perfectly Wretched,Rise of the Floodborn,526869,Uncommon,145/204,0.21,0.14,0.3,Cold Foil
Flynn Rider - His Own Biggest Fan,Rise of the Floodborn,527178,Rare,82/204,0.86,0.47,0.95,Cold Foil
Cinderella - Ballroom Sensation,Rise of the Floodborn,527179,Rare,3/204,4.28,3.68,5.94,Cold Foil
Jafar - Dreadnought,Rise of the Floodborn,527180,Uncommon,183/204,0.51,0.23,0.64,Cold Foil
Jafar - Royal Vizier,Rise of the Floodborn,527181,Common,184/204,0.35,0.05,0.44,Cold Foil
Raya - Headstrong,Rise of the Floodborn,527183,Common,122/204,0.16,0.05,0.25,Cold Foil
Donald Duck - Sleepwalker,Rise of the Floodborn,527194,Common,78/204,0.18,0.07,0.25,Cold Foil
Strength of a Raging Fire,Rise of the Floodborn,527238,Rare,201/204,3.85,2.5,4.78,Cold Foil
Let the Storm Rage On,Rise of the Floodborn,527239,Common,199/204,1.54,0.88,1.56,Cold Foil
Painting the Roses Red,Rise of the Floodborn,527240,Common,30/204,0.18,0.09,0.3,Cold Foil
Go the Distance,Rise of the Floodborn,527242,Common,129/204,0.17,0.08,0.26,Cold Foil
You Can Fly!,Rise of the Floodborn,527243,Uncommon,133/204,0.21,0.1,0.28,Cold Foil
Ratigan's Marvelous Trap,Rise of the Floodborn,527245,Rare,102/204,0.19,0.09,0.25,Normal
Teeth and Ambitions,Rise of the Floodborn,527248,Rare,130/204,0.26,0.14,0.4,Normal
Ray - Easygoing Firefly,Rise of the Floodborn,527250,Common,92/204,0.09,0.01,0.15,Normal
Mother Gothel - Withered and Wicked,Rise of the Floodborn,527253,Uncommon,116/204,0.64,0.45,0.84,Cold Foil
Mufasa - Betrayed Leader,Rise of the Floodborn,527263,Legendary,14/204,1.63,1.0,2.47,Normal
Kuzco - Wanted Llama,Rise of the Floodborn,527266,Common,45/204,0.05,0.01,0.15,Normal
Yzma - Without Beauty Sleep,Rise of the Floodborn,527269,Uncommon,61/204,0.19,0.1,0.28,Cold Foil
Cheshire Cat - Always Grinning,Rise of the Floodborn,527271,Uncommon,74/204,0.29,0.23,0.39,Cold Foil
The Queen - Disguised Peddler,Rise of the Floodborn,527273,Super Rare,93/204,0.2,0.05,0.3,Normal
Fidget - Ratigan's Henchman,Rise of the Floodborn,527274,Common,108/204,0.11,0.03,0.25,Cold Foil
Honest John - Not That Honest,Rise of the Floodborn,527275,Rare,109/204,0.15,0.01,0.25,Normal
Ratigan - Very Large Mouse,Rise of the Floodborn,527276,Rare,121/204,0.17,0.05,0.25,Normal
Hiram Flaversham - Toymaker,Rise of the Floodborn,527277,Rare,149/204,8.07,5.73,9.98,Cold Foil
Owl - Logical Lecturer,Rise of the Floodborn,527278,Common,156/204,0.16,0.05,0.25,Cold Foil
The Huntsman - Reluctant Enforcer,Rise of the Floodborn,527293,Rare,194/204,0.34,0.25,0.5,Cold Foil
Pick a Fight,Rise of the Floodborn,527296,Uncommon,200/204,0.27,0.15,0.33,Cold Foil
Jiminy Cricket - Pinocchio's Conscience,Rise of the Floodborn,527302,Common,44/204,0.06,0.01,0.15,Normal
Peter Pan's Shadow - Not Sewn On,Rise of the Floodborn,527309,Super Rare,55/204,0.27,0.19,0.42,Normal
Alice - Growing Girl,Rise of the Floodborn,527528,Legendary,137/204,10.47,8.99,12.33,Cold Foil
Weight Set,Rise of the Floodborn,527529,Rare,204/204,0.52,0.23,0.69,Cold Foil
Raya - Leader of Heart,Rise of the Floodborn,527530,Super Rare,123/204,0.49,0.35,0.65,Cold Foil
Rapunzel - Sunshine,Rise of the Floodborn,527531,Common,20/204,0.21,0.1,0.3,Cold Foil
Hercules - Divine Hero,Rise of the Floodborn,527532,Rare,181/204,0.28,0.14,0.45,Normal
Beast - Forbidding Recluse,Rise of the Floodborn,527533,Common,171/204,0.05,0.01,0.15,Normal
Nick Wilde - Wily Fox,Rise of the Floodborn,527534,Uncommon,154/204,0.13,0.01,0.24,Normal
Pawpsicle,Rise of the Floodborn,527535,Common,169/204,0.29,0.01,0.3,Normal
The Most Diabolical Scheme,Rise of the Floodborn,527540,Uncommon,131/204,0.17,0.13,0.31,Cold Foil
Blue Fairy - Rewarding Good Deeds,Rise of the Floodborn,527542,Uncommon,36/204,0.12,0.01,0.2,Normal
King Louie - Jungle VIP,Rise of the Floodborn,527613,Super Rare,12/204,0.17,0.1,0.25,Normal
Launch,Rise of the Floodborn,527624,Uncommon,164/204,0.21,0.13,0.3,Cold Foil
Pinocchio - On the Run,Rise of the Floodborn,527626,Uncommon,57/204,0.28,0.19,0.35,Cold Foil
Beast - Tragic Hero,Rise of the Floodborn,527629,Legendary,173/204,7.0,5.9,8.6,Normal
Charge!,Rise of the Floodborn,527639,Common,198/204,0.13,0.05,0.25,Cold Foil
Namaari - Morning Mist,Rise of the Floodborn,527640,Legendary,189/204,4.89,4.74,5.91,Cold Foil
Eudora - Accomplished Seamstress,Rise of the Floodborn,527710,Common,7/204,0.05,0.01,0.15,Normal
Gaston - Baritone Bully,Rise of the Floodborn,527713,Uncommon,8/204,0.3,0.19,0.46,Cold Foil
Mulan - Free Spirit,Rise of the Floodborn,527715,Common,15/204,0.21,0.08,0.3,Cold Foil
Nana - Darling Family Pet,Rise of the Floodborn,527718,Uncommon,17/204,0.19,0.08,0.3,Cold Foil
Piglet - Very Small Animal,Rise of the Floodborn,527720,Common,18/204,0.09,0.01,0.15,Normal
Snow White - Lost in the Forest,Rise of the Floodborn,527721,Common,23/204,0.07,0.01,0.15,Normal
Snow White - Well Wisher,Rise of the Floodborn,527723,Legendary,25/204,1.26,0.99,2.3,Normal
The Queen - Regal Monarch,Rise of the Floodborn,527724,Common,27/204,0.29,0.1,0.41,Cold Foil
Hold Still,Rise of the Floodborn,527726,Common,28/204,0.06,0.01,0.15,Normal
Sleepy's Flute,Rise of the Floodborn,527729,Rare,34/204,0.62,0.4,1.0,Cold Foil
Dr. Facilier - Savvy Opportunist,Rise of the Floodborn,527731,Common,38/204,0.16,0.04,0.25,Cold Foil
Fairy Godmother - Here to Help,Rise of the Floodborn,527733,Uncommon,40/204,0.26,0.1,0.32,Cold Foil
Fairy Godmother - Mystic Armorer,Rise of the Floodborn,527734,Legendary,41/204,3.42,0.73,7.04,Cold Foil
Fairy Godmother - Pure Heart,Rise of the Floodborn,527735,Common,42/204,0.2,0.05,0.25,Cold Foil
HeiHei - Persistent Presence,Rise of the Floodborn,527736,Uncommon,43/204,0.46,0.25,0.5,Cold Foil
Madam Mim - Rival of Merlin,Rise of the Floodborn,527737,Rare,48/204,0.23,0.04,0.3,Normal
Yzma - Scary Beyond All Reason,Rise of the Floodborn,527739,Super Rare,60/204,0.26,0.14,0.43,Normal
Binding Contract,Rise of the Floodborn,527740,Uncommon,65/204,0.19,0.15,0.25,Cold Foil
Croquet Mallet,Rise of the Floodborn,527741,Common,66/204,0.19,0.1,0.25,Cold Foil
Arthur - Trained Swordsman,Rise of the Floodborn,527744,Common,69/204,0.07,0.01,0.15,Normal
Dr. Facilier - Fortune Teller,Rise of the Floodborn,527745,Super Rare,79/204,0.44,0.37,0.68,Cold Foil
Gaston - Scheming Suitor,Rise of the Floodborn,527746,Common,83/204,0.06,0.01,0.15,Normal
Little John - Loyal Friend,Rise of the Floodborn,527747,Rare,84/204,0.31,0.25,0.49,Cold Foil
Pain - Underworld Imp,Rise of the Floodborn,527748,Uncommon,86/204,0.06,0.01,0.16,Normal
Pete - Bad Guy,Rise of the Floodborn,527749,Rare,88/204,0.57,0.31,0.71,Cold Foil
Ratigan - Criminal Mastermind,Rise of the Floodborn,527750,Common,91/204,0.14,0.05,0.25,Cold Foil
Tiana - True Princess,Rise of the Floodborn,527751,Uncommon,94/204,0.31,0.16,0.37,Cold Foil
Baloo - Fun-Loving Bear,Rise of the Floodborn,527752,Common,103/204,0.17,0.02,0.25,Cold Foil
Boun - Precocious Entrepreneur,Rise of the Floodborn,527753,Common,104/204,0.11,0.05,0.25,Cold Foil
Donald Duck - Not Again!,Rise of the Floodborn,527754,Legendary,106/204,0.93,0.3,1.0,Normal
Felicia - Always Hungry,Rise of the Floodborn,527755,Common,107/204,0.04,0.01,0.15,Normal
Lady Tremaine - Imperious Queen,Rise of the Floodborn,527756,Super Rare,110/204,0.4,0.25,0.53,Normal
Namaari - Nemesis,Rise of the Floodborn,527757,Super Rare,118/204,0.36,0.24,0.61,Cold Foil
Queen of Hearts - Sensing Weakness,Rise of the Floodborn,527758,Uncommon,120/204,0.23,0.01,0.3,Normal
Tuk Tuk - Wrecking Ball,Rise of the Floodborn,527759,Rare,128/204,0.3,0.25,0.4,Cold Foil
What Did You Call Me?,Rise of the Floodborn,527760,Common,132/204,0.04,0.01,0.15,Normal
Peter Pan's Dagger,Rise of the Floodborn,527761,Common,135/204,0.14,0.05,0.25,Cold Foil
Caterpillar - Calm and Collected,Rise of the Floodborn,527762,Uncommon,141/204,0.14,0.04,0.2,Normal
Duke Weaselton - Small-Time Crook,Rise of the Floodborn,527763,Common,146/204,0.12,0.01,0.25,Cold Foil
James - Role Model,Rise of the Floodborn,527764,Common,150/204,0.05,0.01,0.15,Normal
Jasmine - Heir of Agrabah,Rise of the Floodborn,527765,Common,151/204,0.06,0.01,0.15,Normal
Noi - Orphaned Thief,Rise of the Floodborn,527766,Rare,155/204,0.4,0.29,0.74,Cold Foil
Rabbit - Reluctant Host,Rise of the Floodborn,527767,Common,158/204,0.14,0.03,0.25,Cold Foil
The Nokk - Water Spirit,Rise of the Floodborn,527768,Common,160/204,0.12,0.05,0.25,Cold Foil
Winnie the Pooh - Having a Think,Rise of the Floodborn,527769,Rare,161/204,1.11,0.69,1.35,Cold Foil
Maurice's Workshop,Rise of the Floodborn,527770,Rare,168/204,0.46,0.15,0.65,Normal
Sardine Can,Rise of the Floodborn,527771,Uncommon,170/204,0.07,0.01,0.15,Normal
Beast - Selfless Protector,Rise of the Floodborn,527772,Super Rare,172/204,0.2,0.08,0.3,Normal
Benja - Guardian of the Dragon Gem,Rise of the Floodborn,527773,Common,174/204,0.06,0.01,0.15,Normal
Hercules - Hero in Training,Rise of the Floodborn,527774,Common,182/204,0.17,0.1,0.27,Cold Foil
Kronk - Junior Chipmunk,Rise of the Floodborn,527775,Rare,185/204,0.43,0.24,0.5,Cold Foil
Lawrence - Jealous Manservant,Rise of the Floodborn,527776,Uncommon,186/204,0.07,0.01,0.2,Normal
Magic Broom - Industrial Model,Rise of the Floodborn,527777,Common,188/204,0.18,0.1,0.3,Cold Foil
Pacha - Village Leader,Rise of the Floodborn,527778,Uncommon,190/204,0.07,0.01,0.15,Normal
Tiana - Diligent Waitress,Rise of the Floodborn,527779,Common,197/204,0.13,0.05,0.25,Cold Foil
Last Cannon,Rise of the Floodborn,527780,Common,202/204,0.05,0.01,0.13,Normal
Arthur - Wizard's Apprentice (Enchanted),Rise of the Floodborn,527797,Enchanted,207/204,31.91,27.86,33.47,Holofoil
Namaari - Morning Mist (Enchanted),Rise of the Floodborn,527798,Enchanted,216/204,23.65,20.0,30.0,Holofoil
Snow White - Well Wisher (Enchanted),Rise of the Floodborn,527799,Enchanted,206/204,70.41,67.25,99.99,Holofoil
Beast - Relentless (Enchanted),Rise of the Floodborn,527800,Enchanted,210/204,37.35,50.0,60.25,Holofoil
Cinderella - Ballroom Sensation (Enchanted),Rise of the Floodborn,527802,Enchanted,205/204,159.03,159.95,183.74,Holofoil
Madam Mim - Purple Dragon (Enchanted),Rise of the Floodborn,528107,Enchanted,208/204,28.26,28.08,35.62,Holofoil
Pete - Bad Guy (Enchanted),Rise of the Floodborn,528108,Enchanted,209/204,23.41,23.09,28.64,Holofoil
Lady Tremaine - Imperious Queen (Enchanted),Rise of the Floodborn,528109,Enchanted,211/204,29.42,39.94,50.06,Holofoil
Shere Khan - Menacing Predator (Enchanted),Rise of the Floodborn,528110,Enchanted,212/204,46.09,39.84,48.99,Holofoil
Alice - Growing Girl (Enchanted),Rise of the Floodborn,528111,Enchanted,213/204,83.6,75.0,112.5,Holofoil
Sisu - Divine Water Dragon (Enchanted),Rise of the Floodborn,528112,Enchanted,214/204,35.07,34.92,39.37,Holofoil
Hercules - Divine Hero (Enchanted),Rise of the Floodborn,528113,Enchanted,215/204,31.61,29.18,37.75,Holofoil
Minnie Mouse - Wide-Eyed Diver Puzzle Insert (Set of 4),Rise of the Floodborn,528644,None,,0.1,0.01,0.2,Normal
Minnie Mouse - Wide-Eyed Diver Puzzle Insert (Bottom Left),Rise of the Floodborn,528648,None,,0.06,0.01,0.08,Normal
Minnie Mouse - Wide-Eyed Diver Puzzle Insert (Bottom Right),Rise of the Floodborn,528649,None,,0.08,0.01,0.09,Normal
Minnie Mouse - Wide-Eyed Diver Puzzle Insert (Top Left),Rise of the Floodborn,528652,None,,0.05,0.01,0.09,Normal
Minnie Mouse - Wide-Eyed Diver Puzzle Insert (Top Right),Rise of the Floodborn,528654,None,,0.07,0.01,0.09,Normal
Disney Lorcana: Rise of the Floodborn Sleeved Booster Pack,Rise of the Floodborn,529695,,,4.96,3.01,5.99,Normal
Disney Lorcana: Rise of the Floodborn Sleeved Booster Pack Art Bundle [Set of 3],Rise of the Floodborn,531988,,,12.99,12.91,21.5,Normal
Bucky - Squirrel Squeak Tutor (Errata Version),Rise of the Floodborn,597095,Uncommon,73/204,0.31,0.23,0.39,Cold Foil
Elsa - Gloves Off (Errata Version),Rise of the Floodborn,618771,Common,39/204,0.1,0.04,0.14,Normal
Disney Lorcana: Rise of the Floodborn Sleeved Booster Pack Case,Rise of the Floodborn,664081,,,,218.95,218.95,Normal
Disney Lorcana: The First Chapter Booster Pack,The First Chapter,482406,,,8.74,7.75,10.5,Normal
Disney Lorcana: The First Chapter Gift Set,The First Chapter,482407,,,82.1,54.99,81.37,Normal
Disney Lorcana: The First Chapter Illumineer's Trove,The First Chapter,482411,,,253.76,250.0,311.34,Normal
Disney Lorcana: The First Chapter Starter Deck (Amber & Amethyst),The First Chapter,482417,,,18.19,16.81,21.49,Normal
Disney Lorcana: The First Chapter Starter Deck (Emerald & Ruby),The First Chapter,482418,,,17.24,13.99,19.99,Normal
Disney Lorcana: The First Chapter Starter Deck (Sapphire & Steel),The First Chapter,482419,,,18.17,10.0,20.99,Normal
Disney Lorcana: The First Chapter Booster Box,The First Chapter,485256,,,309.85,312.99,399.99,Normal
Disney Lorcana: The First Chapter Starter Deck Display,The First Chapter,485257,,,189.23,189.99,299.99,Normal
Disney Lorcana: The First Chapter Booster Box Case,The First Chapter,485258,,,1341.03,1329.0,1982.5,Normal
Scar - Mastermind,The First Chapter,485360,Rare,158/204,0.11,0.01,0.22,Normal
Aladdin - Prince Ali,The First Chapter,485361,Common,69/204,0.05,0.01,0.15,Normal
The Wardrobe - Belle's Confidant,The First Chapter,485363,Common,57/204,0.22,0.08,0.25,Cold Foil
Hades - King of Olympus,The First Chapter,485364,Rare,5/204,0.46,0.15,0.49,Cold Foil
Mulan - Imperial Soldier,The First Chapter,485365,Super Rare,118/204,0.47,0.15,0.47,Cold Foil
Jumba Jookiba - Renegade Scientist,The First Chapter,485366,Uncommon,83/204,0.29,0.2,0.35,Cold Foil
Olaf - Friendly Snowman,The First Chapter,485381,Uncommon,52/204,0.75,0.5,0.87,Cold Foil
Gantu - Galactic Federation Captain,The First Chapter,488097,Legendary,178/204,10.22,7.49,10.29,Cold Foil
Tinker Bell - Tiny Tactician,The First Chapter,488544,Common,194/204,0.09,0.01,0.18,Normal
Tigger - Wonderful Thing,The First Chapter,489638,Uncommon,127/204,0.09,0.01,0.2,Normal
Lady Tremaine - Wicked Stepmother,The First Chapter,489665,Rare,85/204,1.0,0.5,1.1,Cold Foil
Goofy - Daredevil,The First Chapter,490389,Common,111/204,0.11,0.01,0.15,Normal
Disney Lorcana: The First Chapter Sleeved Booster Pack,The First Chapter,491182,,,11.7,11.53,14.99,Normal
Disney Lorcana: The First Chapter Sleeved Booster Pack Art Bundle [Set of 3],The First Chapter,491183,,,38.05,37.15,40.15,Normal
Cheshire Cat - Not All There,The First Chapter,492122,Uncommon,71/204,0.49,0.27,0.65,Cold Foil
Maurice - World-Famous Inventor,The First Chapter,492126,Rare,152/204,1.49,1.0,1.75,Cold Foil
Mickey Mouse - Wayward Sorcerer,The First Chapter,492369,Super Rare,51/204,0.54,0.15,0.61,Cold Foil
Cruella De Vil - Miserable as Usual,The First Chapter,492703,Rare,72/204,0.22,0.1,0.26,Cold Foil
Captain Hook - Forceful Duelist,The First Chapter,492704,Common,174/204,0.11,0.01,0.2,Normal
Elsa - Snow Queen,The First Chapter,492705,Uncommon,41/204,0.92,0.45,1.1,Cold Foil
Maleficent - Monstrous Dragon,The First Chapter,492706,Legendary,113/204,1.58,0.69,2.88,Normal
Robin Hood - Unrivaled Archer,The First Chapter,492707,Super Rare,157/204,2.27,2.0,2.34,Cold Foil
Stitch - Rock Star,The First Chapter,492708,Super Rare,23/204,0.48,0.19,0.84,Normal
Mickey Mouse - Steamboat Pilot,The First Chapter,492709,Common,89/204,0.22,0.1,0.3,Cold Foil
Dragon Fire,The First Chapter,492710,Uncommon,130/204,0.06,0.01,0.16,Normal
Scar - Fiery Usurper,The First Chapter,492711,Common,122/204,0.04,0.01,0.15,Normal
White Rabbit's Pocket Watch,The First Chapter,492712,Rare,68/204,0.24,0.06,0.29,Normal
Healing Glow,The First Chapter,492713,Common,28/204,0.07,0.01,0.15,Normal
Magic Mirror,The First Chapter,492714,Rare,66/204,0.19,0.05,0.26,Normal
Yzma - Alchemist,The First Chapter,492715,Common,60/204,0.23,0.09,0.29,Cold Foil
Hercules - True Hero,The First Chapter,492716,Common,181/204,0.21,0.08,0.3,Cold Foil
One Jump Ahead,The First Chapter,492726,Uncommon,164/204,0.09,0.01,0.24,Normal
Belle - Inventive Engineer,The First Chapter,492727,Uncommon,141/204,0.6,0.18,0.62,Cold Foil
Dinglehopper,The First Chapter,492733,Common,32/204,0.18,0.05,0.25,Cold Foil
Just in Time,The First Chapter,492737,Rare,29/204,1.15,0.99,1.47,Cold Foil
Lefou - Bumbler,The First Chapter,492738,Uncommon,8/204,0.06,0.01,0.15,Normal
Moana - Of Motunui,The First Chapter,492739,Rare,14/204,0.21,0.08,0.34,Cold Foil
Aladdin - Heroic Outlaw,The First Chapter,492740,Super Rare,104/204,0.22,0.1,0.4,Cold Foil
Simba - Returned King,The First Chapter,492741,Rare,189/204,0.23,0.05,0.25,Cold Foil
Let It Go,The First Chapter,492997,Rare,163/204,1.23,0.35,1.4,Normal
Kristoff - Official Ice Master,The First Chapter,492998,Common,182/204,0.03,0.01,0.15,Normal
Frying Pan,The First Chapter,492999,Uncommon,202/204,0.25,0.15,0.32,Cold Foil
Mickey Mouse - True Friend,The First Chapter,493476,Uncommon,12/204,0.69,0.5,0.83,Cold Foil
Magic Broom - Bucket Brigade,The First Chapter,493477,Common,47/204,0.31,0.08,0.4,Cold Foil
Develop Your Brain,The First Chapter,493478,Common,161/204,0.12,0.01,0.2,Normal
Heihei - Boat Snack,The First Chapter,493479,Common,7/204,0.33,0.09,0.33,Cold Foil
Hades - Lord of the Underworld,The First Chapter,493480,Rare,6/204,1.05,0.75,1.5,Cold Foil
Part of Your World,The First Chapter,493481,Rare,30/204,0.15,0.01,0.25,Normal
Coconut Basket,The First Chapter,493482,Uncommon,166/204,0.04,0.01,0.15,Normal
Fire the Cannons!,The First Chapter,493483,Common,197/204,0.11,0.01,0.2,Normal
Aurora - Regal Princess,The First Chapter,493484,Uncommon,140/204,0.61,0.32,0.7,Cold Foil
Maleficent - Biding Her Time,The First Chapter,493485,Rare,48/204,1.78,1.43,2.18,Cold Foil
Beast's Mirror,The First Chapter,493486,Common,201/204,0.22,0.1,0.28,Cold Foil
Donald Duck - Boisterous Fowl,The First Chapter,493487,Uncommon,108/204,0.31,0.25,0.4,Cold Foil
Pascal - Rapunzel's Companion,The First Chapter,493488,Uncommon,53/204,0.95,0.08,0.99,Cold Foil
Captain Hook - Captain of the Jolly Roger,The First Chapter,493489,Rare,173/204,0.95,0.7,1.17,Cold Foil
Maleficent - Sinister Visitor,The First Chapter,493493,Common,150/204,0.24,0.1,0.3,Cold Foil
Flounder - Voice of Reason,The First Chapter,493496,Common,145/204,0.05,0.01,0.15,Normal
Aurora - Dreaming Guardian,The First Chapter,493497,Super Rare,139/204,0.25,0.06,0.37,Normal
Minnie Mouse - Beloved Princess,The First Chapter,493498,Common,13/204,0.05,0.01,0.15,Normal
Stitch - New Dog,The First Chapter,493499,Common,22/204,0.07,0.01,0.18,Normal
Lantern,The First Chapter,493500,Rare,33/204,0.22,0.04,0.46,Normal
Control Your Temper!,The First Chapter,493501,Common,26/204,0.19,0.09,0.25,Cold Foil
Jafar - Wicked Sorcerer,The First Chapter,494098,Common,45/204,0.23,0.08,0.3,Cold Foil
Dr. Facilier - Charlatan,The First Chapter,494099,Common,38/204,0.04,0.01,0.15,Normal
Friends on the Other Side,The First Chapter,494100,Common,64/204,0.17,0.01,0.29,Normal
Maximus - Relentless Pursuer,The First Chapter,494101,Uncommon,11/204,0.06,0.01,0.15,Normal
Ariel - On Human Legs,The First Chapter,494102,Uncommon,1/204,0.49,0.35,0.5,Cold Foil
Maleficent - Sorceress,The First Chapter,494103,Common,49/204,0.4,0.01,0.49,Cold Foil
Be Our Guest,The First Chapter,494110,Uncommon,25/204,0.08,0.01,0.2,Normal
Mickey Mouse - Musketeer,The First Chapter,494141,Rare,186/204,1.69,1.21,1.97,Cold Foil
The Beast is Mine!,The First Chapter,494154,Uncommon,99/204,0.31,0.2,0.37,Cold Foil
Timon - Grub Rustler,The First Chapter,497197,Common,24/204,0.35,0.08,0.35,Cold Foil
Sergeant Tibbs - Courageous Cat,The First Chapter,497203,Common,124/204,0.21,0.05,0.25,Cold Foil
Cerberus - Three-Headed Dog,The First Chapter,497206,Common,176/204,0.07,0.01,0.15,Normal
Iago - Loud-Mouthed Parrot,The First Chapter,497207,Rare,80/204,0.12,0.01,0.21,Normal
Genie - On the Job,The First Chapter,501228,Super Rare,75/204,0.27,0.1,0.4,Normal
Beast - Wolfsbane,The First Chapter,501404,Legendary,70/204,1.32,0.5,1.5,Normal
Rafiki - Mysterious Sage,The First Chapter,501405,Uncommon,54/204,0.12,0.01,0.25,Normal
Archimedes - Highly Educated Owl,The First Chapter,501406,Common,36/204,0.25,0.17,0.33,Cold Foil
Goofy - Musketeer,The First Chapter,501751,Uncommon,4/204,0.49,0.19,0.51,Cold Foil
Stitch - Carefree Surfer,The First Chapter,502009,Legendary,21/204,18.35,17.5,23.08,Cold Foil
Sven - Official Ice Deliverer,The First Chapter,502010,Uncommon,55/204,0.26,0.18,0.35,Cold Foil
Rapunzel - Letting Down Her Hair,The First Chapter,502011,Uncommon,121/204,0.42,0.1,0.5,Cold Foil
Maui - Demigod,The First Chapter,502018,Rare,185/204,0.11,0.03,0.2,Normal
Ariel - Whoseit Collector,The First Chapter,502532,Rare,137/204,0.31,0.05,0.4,Normal
Peter Pan - Never Landing,The First Chapter,502535,Common,91/204,0.17,0.08,0.27,Cold Foil
Simba - Future King,The First Chapter,502536,Common,188/204,0.13,0.01,0.2,Normal
Zeus - God of Lightning,The First Chapter,502540,Rare,61/204,0.22,0.05,0.3,Normal
Lilo - Making a Wish,The First Chapter,503315,Rare,9/204,2.11,1.49,3.0,Cold Foil
Jetsam - Ursula's Spy,The First Chapter,503317,Common,46/204,0.18,0.12,0.29,Cold Foil
Flotsam - Ursula's Spy,The First Chapter,503318,Rare,43/204,0.12,0.01,0.24,Normal
Kronk - Right-Hand Man,The First Chapter,503320,Uncommon,183/204,0.12,0.01,0.19,Normal
Pongo - Ol' Rascal,The First Chapter,503321,Common,120/204,0.26,0.15,0.3,Cold Foil
Merlin - Self-Appointed Mentor,The First Chapter,503354,Common,153/204,0.08,0.01,0.15,Normal
Befuddle,The First Chapter,503355,Uncommon,62/204,0.98,0.77,1.08,Cold Foil
Simba - Protective Cub,The First Chapter,503356,Common,20/204,0.2,0.01,0.25,Normal
Tinker Bell - Giant Fairy,The First Chapter,503357,Super Rare,193/204,0.66,0.44,1.07,Normal
Donald Duck - Strutting His Stuff,The First Chapter,503358,Common,144/204,0.06,0.01,0.15,Normal
Grab Your Sword,The First Chapter,503469,Rare,198/204,1.32,1.0,2.23,Cold Foil
Anna - Heir to Arendelle,The First Chapter,504444,Uncommon,35/204,0.15,0.04,0.21,Normal
Ariel - Spectacular Singer,The First Chapter,504451,Super Rare,2/204,5.52,5.12,11.75,Cold Foil
Gaston - Arrogant Hunter,The First Chapter,504453,Common,110/204,0.27,0.12,0.42,Cold Foil
Sebastian - Court Composer,The First Chapter,504540,Common,19/204,0.07,0.01,0.15,Normal
Ursula's Shell Necklace,The First Chapter,504692,Rare,34/204,0.23,0.05,0.3,Normal
Prince Phillip - Dragonslayer,The First Chapter,505946,Uncommon,16/204,0.14,0.03,0.2,Normal
Aladdin - Street Rat,The First Chapter,505947,Common,105/204,0.21,0.05,0.28,Cold Foil
